,age_group,n_tests,pct_of_tests_positive,n_tests_per_100_000,n_positive_tests_per_100_000,week,year,date,share_tests_positive,n_positive_tests
0,0-4,12304.0,0.92,282.0,2.73,34,2020.0,2020-08-23,0.0092,113.1968
1,5-14,27684.0,0.92,368.0,3.23,34,2020.0,2020-08-23,0.0092,254.6928
2,15-34,101508.0,1.31,541.0,7.2,34,2020.0,2020-08-23,0.0131,1329.7548000000002
3,35-59,130730.0,0.81,462.0,3.98,34,2020.0,2020-08-23,0.008100000000000001,1058.9130000000002
4,60-79,60751.0,0.53,328.0,1.74,34,2020.0,2020-08-23,0.0053,321.9803
5,>=80,33633.0,0.31,573.0,1.74,34,2020.0,2020-08-23,0.0031,104.2623
7,0-4,12698.0,0.5,312.0,1.65,35,2020.0,2020-08-30,0.005,63.49
8,5-14,31746.0,0.7,431.0,3.29,35,2020.0,2020-08-30,0.006999999999999999,222.22199999999998
9,15-34,121428.0,1.2,638.0,7.67,35,2020.0,2020-08-30,0.012,1457.136
10,35-59,165079.0,0.7,570.0,4.38,35,2020.0,2020-08-30,0.006999999999999999,1155.5529999999999
11,60-79,66666.0,0.4,364.0,1.64,35,2020.0,2020-08-30,0.004,266.664
12,>=80,33333.0,0.2,583.0,1.1,35,2020.0,2020-08-30,0.002,66.666
14,0-4,12631.0,0.64,285.0,1.21,36,2020.0,2020-09-06,0.0064,80.83840000000001
15,5-14,30789.0,0.72,406.0,2.74,36,2020.0,2020-09-06,0.0072,221.6808
16,15-34,128684.0,1.12,635.0,7.01,36,2020.0,2020-09-06,0.011200000000000002,1441.2608000000002
17,35-59,162631.0,0.64,565.0,3.65,36,2020.0,2020-09-06,0.0064,1040.8384
18,60-79,67105.0,0.5,364.0,1.83,36,2020.0,2020-09-06,0.005,335.52500000000003
19,>=80,34736.0,0.3,594.0,1.83,36,2020.0,2020-09-06,0.003,104.208
21,0-4,11170.0,0.69,273.0,1.52,37,2020.0,2020-09-13,0.0069,77.073
22,5-14,30319.0,0.79,404.0,3.42,37,2020.0,2020-09-13,0.0079,239.5201
